customer_id,age,gender,region,education_level,employment_type,annual_income,loan_amount,loan_purpose,credit_score,repayment_history,transaction_count,spending_ratio,join_date,default_flag
1,59,Female,East,High School,Unemployed,213261,526963,Business,815,8,95,54.53674052422831,2020-01-01,0
2,49,Male,West,Post-Graduate,Salaried,1325285,765732,Business,696,0,162,69.0636408382646,2020-01-02,1
3,35,Male,East,Graduate,Salaried,568760,861527,Education,405,4,11,36.8487395392721,2020-01-03,0
4,28,Female,West,Graduate,Salaried,1053605,361385,Car,384,2,351,71.20852733065047,2020-01-04,0
5,41,Male,South,High School,Salaried,475796,677407,Car,513,5,398,44.62136653665549,2020-01-05,0
6,59,Male,South,High School,Salaried,970692,626291,Home,420,9,269,48.734759865807746,2020-01-06,0
7,39,Female,South,Post-Graduate,Salaried,628745,511595,Home,431,1,173,61.84817018088572,2020-01-07,0
8,43,Male,East,Graduate,Unemployed,837787,144837,Home,496,8,15,11.468670719937917,2020-01-08,1
9,31,Male,South,Post-Graduate,Unemployed,873812,273068,Car,318,5,158,62.319537713619866,2020-01-09,0
10,31,Female,North,Graduate,Self-Employed,1035825,406427,Home,311,6,214,59.48681192576923,2020-01-10,1
11,44,Female,West,Post-Graduate,Unemployed,890796,983476,Car,380,4,127,34.78776934026239,2020-01-11,1
12,56,Male,West,High School,Unemployed,525203,173805,Car,629,8,494,16.86354279195916,2020-01-12,0
13,44,Male,North,Graduate,Salaried,544866,930278,Business,691,0,98,17.27483599304329,2020-01-13,1
14,23,Female,East,Post-Graduate,Salaried,975107,859359,Home,606,4,163,83.85789975881829,2020-01-14,1
15,42,Female,East,High School,Unemployed,736644,957021,Business,566,10,448,65.14234569806698,2020-01-15,1
16,22,Male,West,High School,Self-Employed,852416,165657,Education,746,9,176,20.16820910165923,2020-01-16,0
17,44,Female,South,Post-Graduate,Salaried,1216003,903062,Education,740,10,477,38.537853544712505,2020-01-17,0
18,50,Male,East,Graduate,Unemployed,1250763,154428,Education,301,5,170,57.398639512127716,2020-01-18,0
19,58,Male,East,Graduate,Unemployed,876585,172035,Car,819,6,279,76.84573640725189,2020-01-19,0
20,22,Male,North,High School,Self-Employed,1374846,495563,Car,608,11,65,13.492874297040682,2020-01-20,1
21,41,Male,North,Graduate,Self-Employed,531607,280780,Car,821,3,237,28.93065051760071,2020-01-21,1
22,53,Male,South,Graduate,Salaried,1189336,962676,Home,768,11,346,81.1799192236304,2020-01-22,1
23,32,Female,East,Graduate,Self-Employed,967286,791570,Business,511,12,158,10.733244014705319,2020-01-23,1
24,42,Female,East,High School,Unemployed,1229933,119518,Car,411,0,55,26.111928223510994,2020-01-24,1
25,45,Female,North,Post-Graduate,Unemployed,1120095,226355,Business,307,10,153,86.72193407783728,2020-01-25,1
26,47,Female,East,Graduate,Self-Employed,1240950,917758,Business,776,7,247,59.07214772177369,2020-01-26,0
27,48,Male,West,High School,Self-Employed,965791,717565,Business,759,9,281,30.933709331000514,2020-01-27,1
28,36,Male,North,High School,Self-Employed,1166020,170243,Home,552,3,129,15.359287551667808,2020-01-28,1
29,35,Male,South,Post-Graduate,Self-Employed,553827,849180,Home,825,2,349,12.255307235777773,2020-01-29,1
30,23,Male,North,Graduate,Salaried,1329833,988601,Education,737,11,422,29.57960637095418,2020-01-30,0
31,57,Female,East,Graduate,Self-Employed,261753,446308,Education,535,6,229,80.51886556711284,2020-01-31,1
32,27,Male,South,Post-Graduate,Salaried,1071206,103311,Business,605,11,17,43.273092343800755,2020-02-01,1
33,41,Male,North,Post-Graduate,Unemployed,1271984,72692,Education,777,1,353,67.62666953327944,2020-02-02,0
34,29,Female,West,High School,Self-Employed,324116,699242,Business,319,7,396,83.46280283039663,2020-02-03,1
35,59,Female,West,High School,Salaried,1222780,729222,Home,515,5,482,42.64323692822533,2020-02-04,0
36,38,Female,North,Post-Graduate,Self-Employed,855496,442179,Home,434,6,284,25.302189682991767,2020-02-05,0
37,24,Female,West,Graduate,Unemployed,217413,271468,Home,428,4,362,51.36943446855356,2020-02-06,1
38,45,Male,West,High School,Unemployed,837938,391651,Car,709,8,75,82.64669496478835,2020-02-07,1
39,34,Male,West,High School,Unemployed,1308076,130152,Business,721,4,88,74.34995313101605,2020-02-08,0
40,29,Female,South,Graduate,Self-Employed,1070946,513685,Home,593,10,95,15.266387469052303,2020-02-09,1
41,46,Male,West,High School,Self-Employed,1304934,579214,Business,545,4,133,65.40582400620654,2020-02-10,1
42,22,Male,West,Graduate,Salaried,266197,53969,Education,385,2,211,55.7518017967163,2020-02-11,0
43,40,Male,West,Graduate,Unemployed,693992,85733,Education,674,10,475,82.59705410771404,2020-02-12,0
44,48,Female,South,Graduate,Self-Employed,423492,381999,Home,745,0,159,19.79851334802378,2020-02-13,1
45,27,Male,North,Post-Graduate,Unemployed,985833,91743,Business,677,1,55,52.72288905637253,2020-02-14,0
46,28,Female,East,Post-Graduate,Unemployed,626070,704481,Home,689,7,122,80.35701548095139,2020-02-15,1
47,55,Male,West,Post-Graduate,Salaried,276240,220948,Education,350,0,100,42.80190293933944,2020-02-16,1
48,34,Male,North,Graduate,Salaried,435595,943877,Home,541,6,150,48.55959341862936,2020-02-17,1
49,37,Male,West,Graduate,Salaried,1255544,70323,Business,593,4,298,15.636854213356663,2020-02-18,1
50,56,Female,South,Post-Graduate,Salaried,489662,573293,Education,565,2,398,32.251491235912866,2020-02-19,0
51,24,Male,North,High School,Unemployed,1038357,328572,Car,419,11,227,35.96053193351579,2020-02-20,1
52,22,Female,South,Graduate,Salaried,390920,608866,Education,547,11,86,85.60979589959095,2020-02-21,0
53,26,Female,West,High School,Salaried,1098332,660774,Car,369,10,420,32.613388843292725,2020-02-22,1
54,24,Female,West,High School,Salaried,1079854,551793,Home,356,6,386,46.86949882157216,2020-02-23,1
55,49,Male,South,Graduate,Salaried,432076,376284,Home,681,8,393,63.70435388514238,2020-02-24,0
56,38,Male,East,Graduate,Unemployed,1271775,831738,Business,338,1,343,22.97466979263019,2020-02-25,1
57,46,Male,South,High School,Salaried,637805,681613,Car,742,7,161,48.91539097134996,2020-02-26,0
58,54,Male,West,High School,Unemployed,363187,920261,Home,317,8,332,69.08312315807261,2020-02-27,0
59,30,Female,South,Post-Graduate,Self-Employed,655150,318508,Car,651,10,248,79.34841704216528,2020-02-28,1
60,56,Female,East,Post-Graduate,Unemployed,709551,441011,Home,597,2,124,60.100741972994136,2020-02-29,1
61,34,Female,South,Graduate,Unemployed,1254096,478565,Education,582,1,328,63.524281225355836,2020-03-01,1
62,51,Male,East,Post-Graduate,Salaried,367527,706051,Home,409,6,378,20.102677806765517,2020-03-02,1
63,35,Female,East,Post-Graduate,Self-Employed,970644,832259,Business,479,4,103,85.66211977970778,2020-03-03,0
64,28,Male,South,Post-Graduate,Self-Employed,847652,669886,Education,843,4,492,20.60592619875859,2020-03-04,1
65,34,Female,South,Post-Graduate,Self-Employed,1423697,771827,Business,324,9,57,71.97383497454386,2020-03-05,1
66,43,Male,North,High School,Self-Employed,1187797,226968,Education,356,4,200,31.185305742265506,2020-03-06,1
67,41,Male,West,Graduate,Unemployed,450144,107062,Car,479,3,471,84.68745149610012,2020-03-07,1
68,36,Female,East,Post-Graduate,Self-Employed,264925,278338,Business,531,12,21,67.59676314955837,2020-03-08,1
69,38,Female,North,High School,Unemployed,569360,785122,Home,642,4,165,70.30509703826951,2020-03-09,0
70,44,Female,South,High School,Unemployed,794557,719221,Car,776,12,181,27.524733844790667,2020-03-10,1
71,46,Female,West,High School,Unemployed,1148458,277909,Home,754,3,486,45.44319813081287,2020-03-11,0
72,45,Male,North,Post-Graduate,Self-Employed,1190121,556995,Education,531,12,436,59.42505556714291,2020-03-12,1
73,49,Female,East,Post-Graduate,Salaried,1348553,138302,Education,588,5,410,71.59788945652807,2020-03-13,1
74,35,Female,North,Graduate,Salaried,683442,638216,Home,512,3,305,18.316750072991166,2020-03-14,1
75,21,Female,East,Post-Graduate,Self-Employed,1030371,788591,Home,557,1,186,86.98922531636227,2020-03-15,0
76,45,Male,South,Post-Graduate,Salaried,1277921,615635,Car,829,8,350,81.21765364436447,2020-03-16,1
77,27,Male,West,High School,Salaried,979976,577409,Home,528,1,66,31.627887239646746,2020-03-17,0
78,29,Female,West,Graduate,Unemployed,1209869,133793,Business,525,8,352,75.82081944258655,2020-03-18,0
79,44,Male,West,Post-Graduate,Unemployed,693814,602452,Business,734,9,349,51.465913843185874,2020-03-19,1
80,21,Female,South,Post-Graduate,Self-Employed,531310,337635,Home,701,5,457,46.944518524961495,2020-03-20,0
81,28,Male,East,High School,Self-Employed,297406,633510,Business,387,8,212,35.15472846491243,2020-03-21,1
82,44,Male,South,High School,Salaried,1164725,728525,Home,841,8,194,56.4774869305274,2020-03-22,1
83,31,Male,West,Post-Graduate,Unemployed,779223,578036,Car,608,2,130,68.39112941628782,2020-03-23,0
84,37,Male,South,Graduate,Self-Employed,584583,600841,Business,642,0,235,42.87463239702066,2020-03-24,1
85,28,Female,South,Graduate,Self-Employed,1221436,166547,Business,735,0,211,60.337535440663366,2020-03-25,1
86,55,Female,South,High School,Self-Employed,994760,634668,Home,476,2,339,65.9450336924243,2020-03-26,0
